address,link,number_beds,number_baths,area,sold information,dishwasher,microwave,washer,dryer,refrigerator,building_type,lot_size,built_year,number_of_rooms,heating_system,heating_fuel,cooling_system,parking,parking_spaces,architecture_type,stories,exterior,roof,price
103 Jamestown Dr #B,https://www.trulia.com/p/pa/pittsburgh/103-jamestown-dr-b-pittsburgh-pa-15216--2014136908,0,1,696,"['Last Sold: Nov 10, 2019', '']",0,0,0,0,0,Condo,696 sqft,1974,3,Other,,Central,,1,,1,Brick,Shake Shingle,90000
609 Arden Ln,https://www.trulia.com/p/pa/pittsburgh/609-arden-ln-pittsburgh-pa-15243--2014310292,4,3,2396,"['Last Sold: Nov 10, 2019', '0% over list $465K']",1,1,1,1,1,Single Family Home,"6,302 sqft",1940,8,Forced Air,Gas,Central,Attached Garage,3,Tudor,3,Brick,Shake Shingle,465000
4405 Schenley Farms Ter,https://www.trulia.com/p/pa/pittsburgh/4405-schenley-farms-ter-pittsburgh-pa-15213--2014123708,4,2,3843,"['Last Sold: Nov 8, 2019', '3% below list $320K']",1,1,1,0,1,Single Family Home,"8,350 sqft",1911,15,Other,Gas,Central,On Street,4,,3,Brick Cement Concrete Stucco,Slate,310000
23 Watson Blvd,https://www.trulia.com/p/pa/pittsburgh/23-watson-blvd-pittsburgh-pa-15214--1002858001,4,2,2861,"['Last Sold: Nov 8, 2019', '88% over list $24.9K']",0,0,0,0,0,Single Family Home,"5,000 sqft",1930,9,Other,,Central,Attached Garage,1,,3,,Shake Shingle,205000
5118 Natrona Way,https://www.trulia.com/p/pa/pittsburgh/5118-natrona-way-pittsburgh-pa-15201--1013453370,2,1,1485,"['Last Sold: Nov 8, 2019', '']",0,0,0,0,0,Single Family Home,"2,000 sqft",1890,4,Other,,,,,,2,Wood,Shake Shingle,200000
3109 Hebron Dr,https://www.trulia.com/p/pa/pittsburgh/3109-hebron-dr-pittsburgh-pa-15235--2014248127,2,1,875,"['Last Sold: Nov 8, 2019', '6% below list $90K']",0,0,0,0,0,Single Family Home,"4,659 sqft",1953,5,Other,,Central,Attached Garage,,Ranch,1,Brick,Shake Shingle,85000
612 Edgewood Rd,https://www.trulia.com/p/pa/pittsburgh/612-edgewood-rd-pittsburgh-pa-15221--2014185897,4,2,2176,"['Last Sold: Nov 8, 2019', '4% over list $300K']",0,0,0,0,0,Single Family Home,"7,933 sqft",1966,8,Other,,,Attached Garage,1,Colonial,2,Brick,,314000
2743 Philadelphia Ave,https://www.trulia.com/p/pa/pittsburgh/2743-philadelphia-ave-pittsburgh-pa-15216--2014143317,3,1,1236,"['Last Sold: Nov 8, 2019', '']",1,1,0,0,1,Single Family Home,"3,000 sqft",1930,6,Forced Air,Electric,Central,On Street,1,,2,Brick,Shake Shingle,190000
2297 Sidgefield Ln,https://www.trulia.com/p/pa/pittsburgh/2297-sidgefield-ln-pittsburgh-pa-15241--2014303160,4,2,2465,"['Last Sold: Nov 8, 2019', '16% below list $400K']",0,0,0,0,0,Single Family Home,0.3 acres,1969,,Forced Air,Gas,Central,,,,,,,345000
299 N Balph Ave,https://www.trulia.com/p/pa/pittsburgh/299-n-balph-ave-pittsburgh-pa-15202--2089351812,4,3,1979,"['Last Sold: Nov 8, 2019', '21% below list $115K']",0,0,0,0,0,Multi Family,"3,965 sqft",1900,,,,,,,,,,,95000
818 Florence Ave,https://www.trulia.com/p/pa/pittsburgh/818-florence-ave-pittsburgh-pa-15202--1008821681,4,2,2322,"['Last Sold: Nov 8, 2019', '22% below list $220K']",0,0,0,0,0,Single Family Home,"4,800 sqft",1906,,,Gas,,,,,,,,180100
148 Riding Trail Ln,https://www.trulia.com/p/pa/pittsburgh/148-riding-trail-ln-pittsburgh-pa-15215--2014132964,4,3,2608,"['Last Sold: Nov 8, 2019', '9% below list $1.04M']",1,1,1,1,1,Single Family Home,2.05 acres,1983,10,Forced Air,Gas,Central,Attached Garage,3,Contemporary,2,Wood,Asphalt,960689
190 Mohawk Dr,https://www.trulia.com/p/pa/pittsburgh/190-mohawk-dr-pittsburgh-pa-15228--2014217847,3,2,2276,"['Last Sold: Nov 8, 2019', '0% over list $440K']",0,0,0,0,0,Single Family Home,"7,957 sqft",1952,,,,,,,,,,,440000
435 Ruxton St,https://www.trulia.com/p/pa/pittsburgh/435-ruxton-st-pittsburgh-pa-15211--1118823543,4,2,1576,"['Last Sold: Nov 7, 2019', '']",0,0,0,0,0,Single Family Home,"5,000 sqft",1900,,,,,,3,,,,,210000
229 Princeton Ave,https://www.trulia.com/p/pa/pittsburgh/229-princeton-ave-pittsburgh-pa-15229--2014225781,4,1,2076,"['Last Sold: Nov 7, 2019', '1% over list $225K']",1,1,1,1,1,Single Family Home,"4,800 sqft",1907,8,Other,Gas,Wall,Detached Garage,3,Colonial,2,Metal,Shake Shingle,228100
347 Fisk St,https://www.trulia.com/p/pa/pittsburgh/347-fisk-st-pittsburgh-pa-15201--2014034314,5,1,2580,"['Last Sold: Nov 7, 2019', '']",0,0,0,0,0,Single Family Home,"2,898 sqft",1900,8,Other,,,,,,3,,Shake Shingle,315000
132 Kentzel Rd,https://www.trulia.com/p/pa/pittsburgh/132-kentzel-rd-pittsburgh-pa-15237--2014270265,4,1,1962,"['Last Sold: Nov 7, 2019', '10% below list $240K']",0,0,0,0,0,Single Family Home,"9,740 sqft",1946,7,Forced Air,Gas,Central,Attached Garage,,Colonial,1,Brick,Asphalt,217500
260 Delano Dr,https://www.trulia.com/p/pa/pittsburgh/260-delano-dr-pittsburgh-pa-15236--2014258160,2,1,1453,"['Last Sold: Nov 7, 2019', '3% below list $150K']",0,0,0,0,0,Single Family Home,"8,432 sqft",1943,6,Other,,Central,Attached Garage,,Colonial,2,Brick,Shake Shingle,146000
3020 Mount Troy Rd,https://www.trulia.com/p/pa/pittsburgh/3020-mount-troy-rd-pittsburgh-pa-15212--2014115175,3,2,2088,"['Last Sold: Nov 7, 2019', '6% below list $255K']",0,0,0,0,0,Single Family Home,0.32 acres,1927,7,Other,,,Attached Garage,,,2,Brick,Shake Shingle,240000
3408 California Ave,https://www.trulia.com/p/pa/pittsburgh/3408-california-ave-pittsburgh-pa-15212--1004249742,3,1,1380,"['Last Sold: Nov 7, 2019', '8% below list $39.9K']",0,0,0,0,0,Single Family Home,"2,880 sqft",1925,6,Other,,Central,,,,2,Brick,Shake Shingle,37000
301 Sprucewood St,https://www.trulia.com/p/pa/pittsburgh/301-sprucewood-st-pittsburgh-pa-15210--2014096194,3,1,1719,"['Last Sold: Nov 7, 2019', '7% below list $130K']",1,1,1,1,1,Single Family Home,0.26 acres,1927,7,Forced Air,Gas,Central,Attached Garage,1,,1,Wood,Shake Shingle,121150
510 Lucy Dr,https://www.trulia.com/p/pa/pittsburgh/510-lucy-dr-pittsburgh-pa-15236--2014262371,3,1,988,"['Last Sold: Nov 7, 2019', '3% over list $180K']",0,1,1,1,1,Single Family Home,"8,250 sqft",1958,7,Forced Air,Gas,Central,"Attached Garage, On Street",3,Ranch,1,Brick Cement Concrete,Shake Shingle,184900
1311 Sandusky St,https://www.trulia.com/p/pa/pittsburgh/1311-sandusky-st-pittsburgh-pa-15212--2014109726,3,1,1544,"['Last Sold: Nov 6, 2019', '18% below list $59K']",0,0,0,0,0,Townhouse,"1,033 sqft",1900,6,Other,,,,1,,,Brick,Shake Shingle,50000
173 36th St,https://www.trulia.com/p/pa/pittsburgh/173-36th-st-pittsburgh-pa-15201--1002237666,2,2,1184,"['Last Sold: Nov 6, 2019', '4% below list $376K']",0,0,0,0,0,Townhouse,"2,089 sqft",1910,5,Other,,,,2,,,Brick,Shake Shingle,362500
138 Universal Rd,https://www.trulia.com/p/pa/pittsburgh/138-universal-rd-pittsburgh-pa-15235--1005665589,3,1,1607,"['Last Sold: Nov 6, 2019', '18% below list $40K']",1,0,0,0,0,Single Family Home,"7,797 sqft",1925,6,Forced Air,Gas,Central,Attached Garage,1,CapeCod,1,Wood,Composition,34000
1304 Decatur St,https://www.trulia.com/p/pa/pittsburgh/1304-decatur-st-pittsburgh-pa-15233--2014231322,3,3,1387,"['$79,500', '$79,500']",0,0,0,0,0,Single Family Home,"1,300 sqft",1910,6,Other,,,None,,,3,Wood,Shake Shingle,59500
7127 Card Ln,https://www.trulia.com/p/pa/pittsburgh/7127-card-ln-pittsburgh-pa-15208--2014080649,3,1,1364,"['Last Sold: Nov 5, 2019', '0% over list $359K']",0,0,0,0,0,Single Family Home,"4,000 sqft",1930,6,Other,,,,2,,2,Brick,Tile,360000
3915 Lawnview Ave,https://www.trulia.com/p/pa/pittsburgh/3915-lawnview-ave-pittsburgh-pa-15227--2014212964,3,1,1188,"['Last Sold: Nov 5, 2019', '2% over list $123K']",0,0,0,0,0,Single Family Home,"5,200 sqft",1939,6,Other,,Central,Attached Garage,,Colonial,2,Brick,Shake Shingle,125000
2043 Brookfield Rd,https://www.trulia.com/p/pa/pittsburgh/2043-brookfield-rd-pittsburgh-pa-15243--2014308969,4,1,1640,"['Last Sold: Nov 4, 2019', '12% over list $190K']",0,0,0,0,0,Single Family Home,"6,000 sqft",1946,,,,,,,,,,,215000
2467 Broadlawn Dr,https://www.trulia.com/p/pa/pittsburgh/2467-broadlawn-dr-pittsburgh-pa-15241--2014303970,4,2,2173,"['Last Sold: Nov 4, 2019', '1% below list $400K']",0,0,0,0,0,Single Family Home,0.29 acres,1958,8,Other,,Central,Attached Garage,,Colonial,2,Brick,Shake Shingle,395000
311 Service Way,https://www.trulia.com/p/pa/pittsburgh/311-service-way-pittsburgh-pa-15201--2014033804,2,1,1238,"['Last Sold: Nov 4, 2019', '3% below list $210K']",0,0,0,0,0,Townhouse,810 sqft,1900,4,Other,Electric,,,,,2,Wood,Composition,203000
1658 Potomac Ave,https://www.trulia.com/p/pa/pittsburgh/1658-potomac-ave-pittsburgh-pa-15216--2014140676,3,1,1842,"['Last Sold: Nov 4, 2019', '']",0,0,1,1,0,Single Family Home,"3,600 sqft",1920,,,,,Off Street,,,,,,210000
524 Baldwin Rd,https://www.trulia.com/p/pa/pittsburgh/524-baldwin-rd-pittsburgh-pa-15207--1119200330,3,1,1914,"['Last Sold: Nov 4, 2019', '6% below list $112K']",1,1,0,0,1,Single Family Home,"4,145 sqft",1900,7,Forced Air,Gas,,Off Street,2,Colonial,2,Brick,Asphalt,106000
109 Westwood St,https://www.trulia.com/p/pa/pittsburgh/109-westwood-st-pittsburgh-pa-15211--2014101641,2,1,1080,"['Last Sold: Nov 4, 2019', '71% over list $49.9K']",0,0,0,0,0,Single Family Home,"1,626 sqft",1920,,,,,,,,,,,169900
4761 Meadowgreen Dr,https://www.trulia.com/p/pa/pittsburgh/4761-meadowgreen-dr-pittsburgh-pa-15236--2014261363,2,1,1216,"['Last Sold: Nov 3, 2019', '10% below list $225K']",0,0,0,0,0,Single Family Home,"9,560 sqft",1955,6,Other,,Central,,,Ranch,1,Brick,Shake Shingle,205000
118 E Littlewood St,https://www.trulia.com/p/pa/pittsburgh/118-e-littlewood-st-pittsburgh-pa-15223--2089363111,3,1,1960,"['Last Sold: Nov 1, 2019', '3% below list $200K']",0,0,0,0,0,Single Family Home,"6,000 sqft",1901,6,Other,,,,,,2,Wood,Shake Shingle,195000
1810 Baldauf St,https://www.trulia.com/p/pa/pittsburgh/1810-baldauf-st-pittsburgh-pa-15203--2014044837,2,2,1363,"['Last Sold: Nov 1, 2019', '14% below list $70K']",0,0,0,0,0,Single Family Home,"1,268 sqft",1880,5,Other,,,,1,,2,Wood,Shake Shingle,61500
408 Sabbath Dr,https://www.trulia.com/p/pa/pittsburgh/408-sabbath-dr-pittsburgh-pa-15236--2014259802,3,1,1836,"['Last Sold: Nov 1, 2019', '60% over list $99.9K']",1,0,0,0,1,Single Family Home,"7,801 sqft",1959,7,Other,Gas,Central,Attached Garage,1,Colonial,,Brick,Asphalt,250000
226 Fisk St,https://www.trulia.com/p/pa/pittsburgh/226-fisk-st-pittsburgh-pa-15201--2014033151,2,1,1210,"['Last Sold: Nov 1, 2019', '']",0,0,0,0,0,Single Family Home,"2,791 sqft",1930,6,Other,,,,2,,2,Brick,Slate,310000
537 N Neville St #5B,https://www.trulia.com/p/pa/pittsburgh/537-n-neville-st-5b-pittsburgh-pa-15213--2089360087,2,2,1570,"['Last Sold: Nov 1, 2019', '11% below list $740K']",0,0,0,0,0,Condo,"1,570 sqft",2007,,,,,,,,,,,665187
129 Varney St,https://www.trulia.com/p/pa/pittsburgh/129-varney-st-pittsburgh-pa-15202--2014038625,3,1,1176,"['Last Sold: Nov 1, 2019', '10% below list $80K']",0,0,0,0,0,Single Family Home,"4,000 sqft",1920,6,Other,,,,,,2,Wood,Shake Shingle,73000
1808 Baldauf St,https://www.trulia.com/p/pa/pittsburgh/1808-baldauf-st-pittsburgh-pa-15203--2014044822,2,1,1088,"['Last Sold: Nov 1, 2019', '20% below list $75K']",0,0,0,0,0,Single Family Home,"1,172 sqft",1808,4,Other,,,,1,,2,Wood,Shake Shingle,62500
545 Peebles St,https://www.trulia.com/p/pa/pittsburgh/545-peebles-st-pittsburgh-pa-15221--2014185275,3,2,1642,"['Last Sold: Nov 1, 2019', '16% over list $270K']",0,0,0,0,0,Single Family Home,"4,651 sqft",1910,6,Other,,,,,,2,,Shake Shingle,321000
1074 Brinton Rd,https://www.trulia.com/p/pa/pittsburgh/1074-brinton-rd-pittsburgh-pa-15221--1141511583,3,1,1002,"['Last Sold: Nov 1, 2019', '8% below list $118K']",0,0,1,1,1,Single Family Home,"5,096 sqft",1955,9,Forced Air,Gas,Central,Attached Garage,1,,1,,Composition,109000
1559 W Ingomar Rd,https://www.trulia.com/p/pa/pittsburgh/1559-w-ingomar-rd-pittsburgh-pa-15237--2089366531,3,2,1564,"['Last Sold: Nov 1, 2019', '3% over list $289K']",1,1,1,1,1,Single Family Home,0.67 acres,1954,7,Forced Air,Gas,Central,Detached Garage,,CapeCod,,Brick,Asphalt,299000
942 Roland Rd,https://www.trulia.com/p/pa/pittsburgh/942-roland-rd-pittsburgh-pa-15221--2014188768,3,1,1232,"['Last Sold: Nov 1, 2019', '4% below list $130K']",1,1,1,1,1,Single Family Home,"9,166 sqft",1951,8,Forced Air,Gas,Central,Attached Garage,,Colonial,2,Brick,Asphalt,124900
178 High St,https://www.trulia.com/p/pa/pittsburgh/178-high-st-pittsburgh-pa-15223--2014192059,0,1,918,"['Last Sold: Nov 1, 2019', '11% below list $87.5K']",0,0,0,0,0,Single Family Home,"4,000 sqft",1896,,,,,,,,,,,79000
367 Walnut St,https://www.trulia.com/p/pa/pittsburgh/367-walnut-st-pittsburgh-pa-15238--2014288285,3,1,1512,"['Last Sold: Nov 1, 2019', '10% below list $160K']",1,0,1,1,1,Single Family Home,"5,280 sqft",1930,7,Forced Air,Gas,,On Street,2,Bungalow,2,Stone,Asphalt,145000
4735 Carlyn Dr,https://www.trulia.com/p/pa/pittsburgh/4735-carlyn-dr-pittsburgh-pa-15236--2014261251,2,1,905,"['Last Sold: Nov 1, 2019', '6% below list $162K']",0,0,0,0,0,Single Family Home,"9,000 sqft",1950,5,Other,Gas,Central,,,Colonial,1,Brick,Shake Shingle,153500
266 Streets Run Rd,https://www.trulia.com/p/pa/pittsburgh/266-streets-run-rd-pittsburgh-pa-15236--2014258212,3,1,1061,"['Last Sold: Oct 31, 2019', '5% below list $209K']",0,0,0,0,0,Single Family Home,0.45 acres,1940,6,Other,,Central,,,CapeCod,,Brick,Shake Shingle,200000
1240 Pennsylvania Ave,https://www.trulia.com/p/pa/pittsburgh/1240-pennsylvania-ave-pittsburgh-pa-15233--2014231247,3,1,1432,"['Last Sold: Oct 31, 2019', '94% over list $10.23K']",0,0,0,0,0,Single Family Home,"6,240 sqft",1976,6,,,,,,,2,,,175000
4822 Rolling Hills Rd,https://www.trulia.com/p/pa/pittsburgh/4822-rolling-hills-rd-pittsburgh-pa-15236--2014261568,3,2,1690,"['Last Sold: Oct 31, 2019', '']",0,0,0,0,0,Single Family Home,"9,950 sqft",1950,7,Other,,Central,,,Colonial,2,Brick,Shake Shingle,240000
2611 Stella St,https://www.trulia.com/p/pa/pittsburgh/2611-stella-st-pittsburgh-pa-15203--1117782610,2,1,1388,"['Last Sold: Oct 31, 2019', '4% below list $350K']",1,1,0,0,1,Single Family Home,"1,600 sqft",1890,7,Forced Air,Gas,Central,On Street,2,Contemporary,3,Wood,,335000
160 Lambeth Dr,https://www.trulia.com/p/pa/pittsburgh/160-lambeth-dr-pittsburgh-pa-15241--2014301291,3,2,1948,"['Last Sold: Oct 31, 2019', '']",0,0,0,0,0,Single Family Home,0.57 acres,1959,7,Other,,Central,Attached Garage,2,Colonial,1,Brick,,309900
525 Springdale Dr,https://www.trulia.com/p/pa/pittsburgh/525-springdale-dr-pittsburgh-pa-15235--2014251451,2,2,1194,"['Last Sold: Oct 31, 2019', '52% over list $69K']",0,0,0,0,0,Single Family Home,"7,980 sqft",1950,,Other,,,Attached Garage,,,1,Cement Concrete,Asphalt,143000
1002 Willow Dr,https://www.trulia.com/p/pa/pittsburgh/1002-willow-dr-pittsburgh-pa-15237--2014266846,2,1,1344,"['Last Sold: Oct 30, 2019', '2% below list $180K']",0,0,0,0,0,Single Family Home,"6,250 sqft",1949,5,Other,,,Attached Garage,1,CapeCod,1,Brick,Shake Shingle,177000
150 Waverly Ave #4,https://www.trulia.com/p/pa/pittsburgh/150-waverly-ave-4-pittsburgh-pa-15229--2014224597,2,2,968,"['Last Sold: Oct 30, 2019', '']",0,0,0,0,0,Condo,968 sqft,1982,4,Other,Electric,Central,,,,1,Brick,Shake Shingle,84900
1441 Benton Ave,https://www.trulia.com/p/pa/pittsburgh/1441-benton-ave-pittsburgh-pa-15212--2014110889,3,1,1046,"['Last Sold: Oct 30, 2019', '7% below list $130K']",0,0,0,0,0,Single Family Home,"5,076 sqft",1930,7,Other,,,,,,2,,Shake Shingle,121000
113 Theresa Dr,https://www.trulia.com/p/pa/pittsburgh/113-theresa-dr-pittsburgh-pa-15215--2014132159,3,1,1163,"['Last Sold: Oct 30, 2019', '']",0,0,0,0,0,Single Family Home,"7,749 sqft",1940,6,Other,,,,3,CapeCod,1,Brick,Shake Shingle,129900
223 40th St,https://www.trulia.com/p/pa/pittsburgh/223-40th-st-pittsburgh-pa-15201--2014033122,3,2,2472,"['Last Sold: Oct 30, 2019', '19% below list $425K']",0,0,0,0,0,Single Family Home,"6,370 sqft",1900,9,Other,,,,,,2,Brick,Slate,358500
23 Ridge Rd,https://www.trulia.com/p/pa/pittsburgh/23-ridge-rd-pittsburgh-pa-15221--2014181990,3,2,1836,"['Last Sold: Oct 30, 2019', '9% below list $210K']",0,0,0,0,0,Single Family Home,0.43 acres,2011,6,Other,,Central,Attached Garage,2,Ranch,1,,Shake Shingle,192500
1012-1014 High St,https://www.trulia.com/p/pa/pittsburgh/1012-1014-high-st-pittsburgh-pa-15212--2189444541,3,2,2325,"['Last Sold: Oct 30, 2019', '7% below list $45K']",0,0,0,0,0,Multi Family,"6,043 sqft",1920,7,Other,,,,,,2,,Shake Shingle,42000
5301 Ranchview Dr,https://www.trulia.com/p/pa/pittsburgh/5301-ranchview-dr-pittsburgh-pa-15236--2014263659,3,2,1400,"['Last Sold: Oct 30, 2019', '1% over list $200K']",0,0,0,0,0,Single Family Home,"8,271 sqft",1963,,Forced Air,Gas,Central,,,,,,,202000
657 Robinwood Dr,https://www.trulia.com/p/pa/pittsburgh/657-robinwood-dr-pittsburgh-pa-15216--2014145361,2,1,992,"['Last Sold: Oct 30, 2019', '3% over list $163K']",0,0,0,0,0,Condo,"1,610 sqft",1974,4,Other,,Central,,,,2,Brick,Shake Shingle,168300
258 Dutch Ln,https://www.trulia.com/p/pa/pittsburgh/258-dutch-ln-pittsburgh-pa-15236--2014258130,3,2,1767,"['Last Sold: Oct 29, 2019', '1% below list $237K']",0,0,0,0,0,Single Family Home,"10,400 sqft",1957,,,,,,,Colonial,,,,234900
1001 Mallissee Rd,https://www.trulia.com/p/pa/pittsburgh/1001-mallissee-rd-pittsburgh-pa-15239--2014290475,3,2,1400,"['Last Sold: Oct 29, 2019', '']",0,0,0,0,0,Single Family Home,0.43 acres,1968,6,Other,Gas,Central,Attached Garage,,,1,Brick,Shake Shingle,149000
2055 Holiday Park Dr,https://www.trulia.com/p/pa/pittsburgh/2055-holiday-park-dr-pittsburgh-pa-15239--2014292589,2,1,1286,"['Last Sold: Oct 28, 2019', '2% over list $170K']",0,0,0,0,1,Single Family Home,"8,583 sqft",1963,5,Forced Air,Gas,Central,Attached Garage,1,Colonial,1,Brick Cement Concrete,Shake Shingle,173000
1479 Hass St,https://www.trulia.com/p/pa/pittsburgh/1479-hass-st-pittsburgh-pa-15204--2014048533,2,1,624,"['Last Sold: Oct 28, 2019', '5% below list $39.9K']",0,0,0,0,0,Single Family Home,"5,000 sqft",1945,5,Other,,Central,,,Ranch,1,,Shake Shingle,37900
102 Eads St,https://www.trulia.com/p/pa/pittsburgh/102-eads-st-pittsburgh-pa-15210--2014089295,3,2,2104,"['Last Sold: Oct 28, 2019', '17% over list $24.9K']",0,0,0,0,0,Single Family Home,"4,000 sqft",1880,7,Other,Gas,Central,Attached Garage,,,1,Wood,Asphalt,29900
440 Almar Dr,https://www.trulia.com/p/pa/pittsburgh/440-almar-dr-pittsburgh-pa-15237--2014278103,4,1,1796,"['Last Sold: Oct 28, 2019', '1% over list $335K']",1,1,0,0,0,Single Family Home,0.37 acres,1949,8,Forced Air,Gas,Central,Attached Garage,4,Modern,2,Brick,Asphalt,337000
409 Toura Dr,https://www.trulia.com/p/pa/pittsburgh/409-toura-dr-pittsburgh-pa-15236--2014259812,4,2,1958,"['Last Sold: Oct 28, 2019', '6% below list $250K']",0,0,0,0,0,Single Family Home,0.44 acres,1978,8,Other,,Central,Attached Garage,2,Colonial,2,Brick,Shake Shingle,235000
145 Mayfair Dr,https://www.trulia.com/p/pa/pittsburgh/145-mayfair-dr-pittsburgh-pa-15228--2014217454,3,2,1933,"['Last Sold: Oct 28, 2019', '3% below list $380K']",0,0,0,0,0,Single Family Home,"9,804 sqft",1958,,,,,,,,,,,369900
1907 Saint Paul St,https://www.trulia.com/p/pa/pittsburgh/1907-saint-paul-st-pittsburgh-pa-15203--2014045019,2,1,1728,"['Last Sold: Oct 28, 2019', '31% below list $139K']",0,0,0,0,0,Single Family Home,"1,892 sqft",1900,,,Gas,Central,,,Colonial,,,,106000
5130 Janie Dr,https://www.trulia.com/p/pa/pittsburgh/5130-janie-dr-pittsburgh-pa-15227--2014215013,3,2,909,"['Last Sold: Oct 28, 2019', '2% below list $150K']",0,0,0,0,0,Single Family Home,"6,608 sqft",1960,5,Other,,Central,Attached Garage,1,Ranch,1,Brick,Shake Shingle,147000
222 Goldsmith Rd,https://www.trulia.com/p/pa/pittsburgh/222-goldsmith-rd-pittsburgh-pa-15237--2014274459,3,2,1116,"['Last Sold: Oct 28, 2019', '3% over list $219K']",0,0,0,0,0,Single Family Home,0.38 acres,1951,5,Forced Air,Gas,Central,,,Colonial,1,Brick,Shake Shingle,225000
291 Olympic Rd,https://www.trulia.com/p/pa/pittsburgh/291-olympic-rd-pittsburgh-pa-15236--2014258391,3,1,875,"['Last Sold: Oct 25, 2019', '5% below list $145K']",0,0,0,0,0,Single Family Home,"7,150 sqft",1948,5,Forced Air,Gas,Central,Attached Garage,1,Ranch,1,Brick,Shake Shingle,138000
461 Taylor St,https://www.trulia.com/p/pa/pittsburgh/461-taylor-st-pittsburgh-pa-15224--1008233871,0,1,959,"['Last Sold: Oct 25, 2019', '5% below list $153K']",0,0,0,0,0,Single Family Home,"1,100 sqft",1925,3,Other,,,,,CapeCod,,,,145000
203 Gass Rd,https://www.trulia.com/p/pa/pittsburgh/203-gass-rd-pittsburgh-pa-15229--2014225309,3,1,1664,"['Last Sold: Oct 25, 2019', '8% over list $175K']",0,1,0,0,0,Single Family Home,"10,000 sqft",1950,8,Other,,Central,Attached Garage,1,Colonial,2,Brick,Asphalt,190000
305 Greenway Dr,https://www.trulia.com/p/pa/pittsburgh/305-greenway-dr-pittsburgh-pa-15235--2014247942,3,1,1596,"['Last Sold: Oct 25, 2019', '7% over list $79.9K']",0,0,0,0,0,Single Family Home,"3,304 sqft",1950,7,Other,,Central,Attached Garage,1,Colonial,2,Brick,Shake Shingle,85548
419 Glaids Dr,https://www.trulia.com/p/pa/pittsburgh/419-glaids-dr-pittsburgh-pa-15243--2014309516,3,2,2107,"['Last Sold: Oct 25, 2019', '9% below list $328K']",1,1,1,1,1,Single Family Home,"9,806 sqft",1961,8,Other,,Central,Attached Garage,2,SplitLevel,1,Brick,Shake Shingle,300000
7122 Grand Ave,https://www.trulia.com/p/pa/pittsburgh/7122-grand-ave-pittsburgh-pa-15225--2014198973,3,2,1672,"['Last Sold: Oct 25, 2019', '3% below list $139K']",1,1,0,0,1,Single Family Home,"4,923 sqft",1957,6,Forced Air,Gas,Central,"On Street, Detached Garage",,Ranch,1,Brick,Shake Shingle,134900
226 Jucunda St,https://www.trulia.com/p/pa/pittsburgh/226-jucunda-st-pittsburgh-pa-15210--2014094439,4,2,2024,"['Last Sold: Oct 25, 2019', '11% below list $74.9K']",0,0,0,0,0,Multi Family,"2,500 sqft",1924,8,Other,,,,2,,2,Brick,Shake Shingle,67500
